Depth (m),qc (MPa),fs (kPa),u (kPa),Other,qt (MPa),Rf (%),SBT,Ic SBT,γ (kN/m³),"σ,v (kPa)",u0 (kPa),"σ',vo (kPa)",Qt1,Fr (%),Bq,SBTn,n,Cn,Ic,Qtn,u (kPa),U2,I(B),Mod. SBTn
3.55,1.10843,37.75,60.04,1120.43,1.35,2.73,3,2.87,19,67.45,25.02,42.43,30.25,2.87,0.03,4,0.88,2.12,2.64,27.21,60.04,1.04,25.11,5
3.575,1.70962,34.15,21.88,1713.99,1.52,2.24,4,2.78,19,67.93,25.26,42.66,33.99,2.34,0.01,4,0.84,2.05,2.55,29.75,21.88,0.2,28.44,5
3.6,1.71571,30.11,19.13,1719.53,1.63,1.84,4,2.71,19,68.4,25.51,42.89,36.38,1.92,0,5,0.82,2,2.48,31.17,19.13,-0.12,31.69,5
3.625,1.44983,25.72,19.52,1453.73,1.55,1.64,4,2.7,19,68.88,25.75,43.12,34.26,1.72,0,5,0.81,1.98,2.48,29.31,19.52,-0.11,32.68,7
3.65,1.46129,20.21,24.72,1466.23,1.42,1.5,4,2.71,19,69.35,26,43.35,31.25,1.58,0,5,0.82,1.98,2.48,26.84,24.72,-0.01,32.81,7
3.675,1.34607,18.09,32.08,1352.48,1.37,1.34,4,2.7,19,69.83,26.24,43.58,29.73,1.42,0.01,5,0.82,1.97,2.48,25.5,32.08,0.16,33.46,6
3.7,1.26978,16.72,42.48,1278.27,1.31,1.31,4,2.71,19,70.3,26.49,43.81,28.26,1.39,0.01,5,0.82,1.97,2.49,24.35,42.48,0.41,33.11,6
3.725,1.28238,16.67,58.37,1294.05,1.3,1.29,4,2.71,19,70.78,26.73,44.04,28,1.37,0.03,5,0.82,1.96,2.49,24.16,58.37,0.84,33.16,6
3.75,1.32164,17.16,89.86,1339.6,1.33,1.27,4,2.7,19,71.25,26.98,44.27,28.47,1.35,0.05,5,0.82,1.95,2.48,24.52,89.86,1.42,33.51,6
3.775,1.33769,17.07,121.25,1361.93,1.34,1.26,4,2.7,19,71.73,27.22,44.5,28.41,1.34,0.08,5,0.82,1.94,2.48,24.48,121.25,2.15,33.58,6
3.8,1.27548,16.44,157.65,1306.99,1.29,1.27,4,2.71,19,72.2,27.47,44.73,27.25,1.34,0.1,5,0.82,1.94,2.49,23.61,157.65,2.81,33.06,6
3.825,1.16829,15.55,180.99,1204.47,1.23,1.27,4,2.73,19,72.68,27.71,44.96,25.82,1.35,0.13,5,0.83,1.94,2.51,22.53,180.99,3.45,32.37,6
3.85,1.14769,15.13,210.52,1189.77,1.16,1.28,4,2.75,19,73.15,27.96,45.19,24.13,1.36,0.16,5,0.84,1.95,2.54,21.22,210.52,3.98,31.57,4
